log,ErrorCode
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Function create_function() is deprecated in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/LayerSlider/wp/widgets.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Function create_function() is deprecated in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/revslider/includes/framework/functions-wordpress.class.php on line 258,1
[22-Oct-2019 10:21:09 UTC] PHP Notice:  Undefined variable: pluginLocation in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/sysgerrorgen/sysgerrorgen.php on line 13,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_CQBundle has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/vc-extensions-cqbundle.php on line 63,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_FAanimation has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/faanimation/vc-extensions-faanimation.php on line 5,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_DAGallery has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/dagallery/vc-extensions-dagallery.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_AppMockup has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/appmockup/vc-extensions-appmockup.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_DepthModal has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/depthmodal/vc-extensions-depthmodal.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_iHover has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/ihover/vc-extensions-ihover.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_ProfileCard has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/profilecard/vc-extensions-profilecard.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_TestimonialCarousel has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/testimonialcarousel/vc-extensions-testimonialcarousel.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_StackGallery has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/stackgallery/vc-extensions-stackgallery.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_FigureNav has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/figurenav/vc-extensions-figurenav.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_Ribbon has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/ribbon/vc-extensions-ribbon.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_MediumGallery has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/mediumgallery/vc-extensions-mediumgallery.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_ProductCover has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/productcover/vc-extensions-productcover.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_ImageWithArrow has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/imagewitharrow/vc-extensions-imagewitharrow.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_Parallax has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/parallax/vc-extensions-parallax.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_CQButton has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/buttons/vc-extensions-cqbutton.php on line 4,1
[22-Oct-2019 10:21:09 UTC] PHP Deprecated:  Methods with the same name as their class will not be constructors in a future version of PHP; VC_Extensions_HotSpot has a deprecated constructor in /var/www/vhosts/aip-test.com/website1.aip-test.com/wp-content/plugins/vc-extensions-bundle/hotspot/vc-extensions-hotspot.php on line 5,1
